,version,matrix_size,tile_size,cpu-cycles,branch-misses,branch-instructions,cache-misses,dtlb-read-accesses,dtlb-read-misses,dtlb-write-misses,l1d-read-accesses,l1d-read-misses,l1d-write-accesses,l1i-read-misses,ll-read-accesses,ll-read-misses,ll-write-accesses,ll-write-misses,time-elapsed,page_fault
0,v5,8192,32,111095074467,67621861,8790861360,11253175,129381212311,157590,14685,129423620536,8588031880,17313513578,31951,3359890320,168838,1257596,8,35.986331423s,0
1,v2,2048,16,95368753068,49921382,10307194795,135219353,133420240019,18961956,26218,133524348019,7373733729,18333701529,35398,76338892,14007028,5601,1320,30.919931991s,0
2,v4,8192,128,112711922932,67595782,8790502792,9415623,129376893442,213023,16137,129414380385,8593306932,17320813653,35415,3381048066,209541,1246360,24,36.514446447s,0
3,v1,2048,16,95285467700,49179134,10300890303,101216508,133375324301,19216651,24713,133554840292,7342529914,18338068954,36453,70406896,9429324,4193,640,31.01410062s,0
4,v6,8192,128,111064448950,67617630,8790852746,20827672,129380288847,990683,17859,129397445197,8587389547,17315009428,30736,3345484600,694951,1610359,8,35.977632779s,0
5,v3,8192,64,112722424249,67641580,8793358999,26249828,129362782289,1011311,20311,129398469621,8590524057,17316744470,36531,3240485429,884574,1601005,32,36.651666951s,0
6,v2,2048,64,117472526244,136342104,8996002229,37876015,129972179054,2085947,16802,130005020216,8459982653,17455178140,49019,4900707250,1993165,611540,304,38.074827235s,0
7,v2,2048,128,116605570861,67611180,8790044216,15310307,129367089000,698821,16516,129425927502,8563816963,17319662453,31861,7619700527,1170336,592442,16,37.767109555s,0
8,v6,2048,64,116414772862,136399538,9000550797,64872652,129981193921,4102316,36904,129947065660,8450285595,17445356860,43114,5262724124,3307041,1499430,240,37.72509433s,0
9,v5,2048,128,118772509332,67628905,8791272829,10427165,129358172036,163519,16544,129384657583,8567748440,17322338995,31118,7287297736,139619,839748,32,38.47244161s,0
10,v2,2048,32,108603808063,277072614,9419609177,85599678,131057624397,6451196,14313,131053504370,8050381111,17734750607,37037,367892856,11226328,179052,40,35.201013584s,0
11,v6,2048,128,116429509396,67591097,8787646040,19890883,129345416886,998278,18065,129403610879,8583728656,17321259345,41727,5088526327,809533,1860684,24,37.714712537s,0
12,v3,8192,128,113978309448,67587120,8788990802,25707468,129376201007,976949,19163,129297445911,8583779064,17309277162,32609,3287193341,884274,1686441,56,36.928752525s,0
13,v5,2048,64,109124007087,136324249,8995831733,19237041,129900008150,199113,13794,129906358525,8453002658,17451011765,30182,2190701803,303750,550665,32,35.349775209s,0
14,v5,2048,8,85997771250,16894040,12263579097,34121450,138644703614,1777428,528936,138652484488,405010264,19625799274,23052,4426012,2537821,176,104,27.858839183s,0
15,v3,2048,32,110289217379,277057375,9419919930,97059416,131039250131,15673869,21991,131041493751,8068742158,17738389691,28157,518931977,6725914,240514,264,35.739106574s,0
16,v1,8192,32,114224958975,67608149,8789881847,15158509,129376851790,697697,14426,129480927971,8592576955,17317424421,32502,3364162498,505429,1210762,8,37.006472848s,0
17,v6,2048,32,112547176925,276865936,9412761341,88468603,131042788475,16014920,64260,131116260109,8122905476,17726791838,32007,1324734840,7881619,584422,144,36.479512836s,0
18,v4,2048,64,112374746807,136348734,8997117708,12937543,129896393880,312917,13494,129965306261,8456693116,17456903831,46126,3321341346,412604,583361,56,36.410649621s,0
19,v4,2048,128,115579715718,67648978,8791305541,11220964,129370503208,220995,15935,129427047111,8581757465,17316334418,38568,5366111147,237661,1013575,0,37.436307963s,0
20,v3,2048,64,110167162025,136288063,8994977106,53835221,129920319645,4056933,32653,129981563202,8445741525,17455981695,30884,2671822550,2401974,698203,64,35.682936114s,0
21,v1,8192,128,119853583378,67691331,8800274319,19728447,129473490241,785129,17900,128995568503,8539927867,17314038859,61509,8518614870,1844307,409768,416,38.884181344s,0
22,v1,2048,64,119054779328,136249924,8990945295,43714622,129944077257,2258251,16233,130058009210,8465921825,17463425198,63876,5468100972,2607539,582551,472,38.642164657s,0
23,v6,2048,16,108196470761,78395135,10307903690,132158733,133428384021,62418798,827401,133306937611,7350338929,18318379757,30664,71796300,23778353,1129,416,35.748280403s,0
24,v6,2048,8,102351748119,16939675,12267319919,411214922,138651910600,221865042,29118272,138561086939,844671928,19615802622,37811,275246969,50508076,880,464,34.561991086s,0
25,v1,8192,64,112465834677,67629759,8791618506,14350732,129380533786,687323,14587,129417577590,8588834858,17314550049,36294,3260502908,434804,1165741,40,36.43666943s,0
26,v3,2048,8,99466859317,16900391,12256795520,424809339,138690324437,216929401,26923665,138550778553,834468076,19620019602,41577,272839511,40773950,1768,456,33.348260916s,0
27,v2,8192,64,112491227843,67626564,8790918302,13824580,129348699739,688733,14507,129419447992,8590998727,17320971851,34245,3267787779,419708,1186519,8,36.441984574s,0
28,v2,8192,128,112613506782,67622544,8791622879,14924791,129384371678,687516,14992,129389440755,8590680629,17315647922,38795,3249787052,480394,1190743,7,36.609982247s,0
29,v3,2048,16,105790848223,78415379,10303496613,129736620,133386753227,62397145,754635,133505473478,7544252355,18329565136,30782,77066955,11356042,5090,543,34.386507766s,0
30,v1,2048,8,91118180889,16903633,12263525159,195739065,138645337676,50975184,41489,138705911241,520948482,19633385148,29748,127684410,66311696,392,72,30.241548463s,0
31,v5,2048,32,111260012995,276965998,9417065655,35445473,131048347380,676954,20710,131074418187,8115757268,17739191228,29954,1212173218,1470533,350330,48,36.044419596s,0
32,v5,8192,128,112500725992,67626343,8791639902,11353281,129378141282,180326,15408,129397270062,8588871364,17312390375,36443,3263407652,151492,1209645,40,36.441896093s,0
33,v4,8192,32,113705533995,67524064,8778657645,9626610,129254477747,199841,15885,129478384895,8596565934,17338005363,30525,3203159162,204390,1216575,16,36.845197706s,0
34,v2,2048,8,90864304300,16882592,12264548887,200018249,138662693716,50559176,25699,138704155413,518661905,19631214726,27513,127340211,68473403,312,240,30.128177033s,0
35,v1,2048,128,115848192577,67631027,8791691885,12897511,129382277481,704081,16081,129405952227,8582063439,17314888544,30038,4943441431,496856,1062184,32,37.52649936s,0
36,v5,8192,64,113721165857,67633970,8792498871,12496185,129413641684,168758,15257,129384334522,8586275376,17304068636,33140,3185564910,197874,1326247,32,36.836758035s,0
37,v3,8192,32,114159115926,67616245,8790309091,25010301,129364327613,964840,19320,129417476425,8592951066,17316603548,34319,3294685595,834446,1645237,16,36.980695228s,0
38,v1,2048,32,110200665716,277017541,9416499064,73959811,131008113899,6435209,13317,131108181284,8095611751,17742199831,31481,1092341031,5864174,250628,304,35.704601497s,0
39,v4,8192,64,111102872937,67626465,8791330085,10277094,129373371859,206231,15300,129407750332,8588125393,17317195321,30717,3348673288,224770,1180058,8,35.98651935s,0
40,v2,8192,32,110951169361,67633841,8794076963,15982515,129453505226,707576,15292,129447449435,8587460790,17309722837,36131,3185258778,512306,1148757,72,35.948651088s,0
41,v5,2048,16,94613457869,47995472,10305232958,37231584,133392790208,794173,508895,133470939145,7382779923,18332147097,33825,25598517,1432085,2354,312,30.740595534s,0
42,v6,8192,32,113287966747,67621387,8789936200,20059334,129331728867,994619,18141,129414645203,8592971493,17326645704,29669,3391030197,680048,1597504,32,36.696054814s,0
43,v3,2048,128,118070594318,67675988,8798282409,14059138,129434578664,988640,20828,129359465187,8566564772,17310657224,33595,7163307826,842942,1413979,72,38.242355427s,0
44,v4,2048,16,94477819643,49949003,10307316806,20719982,133415943347,937218,20935,133371517766,7341753033,18320978121,34654,25784587,1213946,4250,144,30.612006925s,0
45,v6,8192,64,110955556452,67649032,8794336650,23482877,129408822039,987004,15581,129356654007,8585665713,17312649776,30855,3250147663,790142,1633890,48,35.939447653s,0
46,v4,2048,32,108415844177,277159840,9420576388,11217731,131052724820,550483,13050,131050553508,8065393456,17735610113,27678,538381827,757737,154702,8,35.118535093s,0
47,v4,2048,8,85492224201,16883801,12254712713,29502481,138592666044,1471843,29524,138701517101,423347988,19640308339,21234,9381661,1670729,432,208,27.710250056s,0
